   SAO; m(vis); RA(deg); DEC(deg); RAchange(deg/yr); DECchange(deg/yr)
21832;5;13.75052561;58.97269337;-0.00001764;-0.00001194
21855;4.8;14.16592188;59.18105986;-0.0000504;-0.00001278
22024;5.3;17.06817302;54.92046968;0.0016653;-0.00044221
22032;5.7;17.13896026;58.26366529;0.0000042;-0.00000139
22070;4.5;17.7757687;55.14984196;0.00011214;-0.00000611
22191;5.3;20.02045715;58.23160714;0;-0.00000056
22268;2.8;21.45411609;60.2352745;0.00016926;-0.00001444
22389;6;23.3574373;58.32752375;0.00000588;0.00000056
22397;4.9;23.48304173;59.23207661;-0.00002058;-0.00000583
22456;5.7;24.5307046;57.97764294;-0.00000588;-0.0000025
22554;4.2;25.91519687;50.68872394;0.00001176;-0.00000417
22678;5.9;27.73800144;51.93329356;0.00001848;-0.00003333
22690;5.5;27.99758923;55.14743898;0.00001008;-0.00000194
22696;5.6;28.03889779;50.79285733;0.0000063;-0.00000722
22859;5;30.57546937;54.48759992;0.0000168;-0.00000028
22959;5.9;32.16855731;58.42374861;-0.00000588;0.00000083
23047;5.4;33.40143688;51.06587927;0.00015414;-0.00004722
23256;5.2;35.5891796;55.84575045;-0.00000084;0
23319;4.9;36.40587966;50.27865159;0.0000105;-0.00000389
23555;5.7;40.76198136;55.1059614;0.00001806;-0.00000667
23655;4;42.67428999;55.89550039;0.00000924;-0.00000417
23685;4.1;43.56441978;52.76252708;0;-0.00000111
23763;5.4;45.21749528;52.35171849;0.00001302;-0.00000722
23789;3.1;46.19913334;53.50647466;-0.00000042;-0.00000139
23791;5.1;46.38506222;56.70589276;-0.0000084;0.00002028
23903;5.9;48.94981761;57.14079252;-0.00000168;0.00000083
23914;5.3;49.05064676;50.93779336;-0.00000336;-0.00000444
23944;5.3;49.65754679;50.22216252;0.0000126;-0.00000722
24054;4.4;52.26732292;59.94028249;-0.00000042;-0.00000139
24061;4.8;52.47856451;58.87875977;0.00000294;-0.00000056
24064;5;52.50090186;55.45194495;-0.00002268;-0.0000025
24099;5.8;53.41242303;54.9747947;-0.0000231;-0.00000139
24169;6;55.67779067;59.96940767;-0.00000294;0.00000056
24215;6;56.88401623;55.92255604;0.00001554;-0.00000417
24231;5.9;57.07630781;50.73664328;0.0000063;-0.00000167
24276;5.8;58.43037086;57.97512651;0.00004368;-0.00002694
24314;5.5;59.15205443;50.6953628;0.00004032;-0.00003611
24384;5.1;61.11315502;59.15554604;-0.00000168;0
24412;4.3;61.64596356;50.35127918;-0.00000672;-0.00001
24512;5.1;64.17969385;53.61180554;-0.0000063;-0.00000028
24514;5.8;64.28401861;57.86055152;0.00001596;-0.00000944
24531;4.6;64.56102719;50.29558479;0.00002058;-0.000015
24544;5.5;65.04814405;50.92102403;0.0000021;-0.00000111
24563;5.9;65.46590262;56.50659505;-0.00000714;0.00000417
24671;5.9;68.00752025;53.91087185;-0.00000168;-0.00000056
24672;5.9;68.00761192;53.91086956;-0.00000084;-0.00000056
24743;5.3;69.97797896;53.07962439;-0.00000126;-0.00000361
24744;5.4;69.99208748;53.47314684;0.00002184;-0.00002555
24829;5.4;72.00120882;56.75724526;0.00002646;-0.00004083
24904;5.6;73.7630266;55.25916693;-0.0000063;-0.00000194
24919;5.8;74.02961822;52.86959689;-0.00000126;0.00000222
24929;4.4;74.32160965;53.75214129;-0.00001134;0.00000194
25001;5.3;76.5353068;58.97239027;-0.00000294;-0.00000222
25019;5;76.66927297;51.59774873;-0.00001386;-0.00004778
25161;5.3;80.86508738;57.54435376;-0.00001638;-0.00001556
